customerID,churn_probability,predicted_churn,actual_churn,split,Contract,PaymentMethod,InternetService,tenure,MonthlyCharges
7590-VHVEG,0.621812,1,0,train,Month-to-month,Electronic check,DSL,1,29.85
5575-GNVDE,0.043678,0,0,train,One year,Mailed check,DSL,34,56.95
3668-QPYBK,0.315487,1,1,train,Month-to-month,Mailed check,DSL,2,53.85
7795-CFOCW,0.032635,0,0,train,One year,Bank transfer (automatic),DSL,45,42.3
9237-HQITU,0.71704,1,1,train,Month-to-month,Electronic check,Fiber optic,2,70.7
9305-CDSKC,0.858269,1,1,train,Month-to-month,Electronic check,Fiber optic,8,99.65
1452-KIOVK,0.421745,1,0,test,Month-to-month,Credit card (automatic),Fiber optic,22,89.1
6713-OKOMC,0.289493,1,0,test,Month-to-month,Mailed check,DSL,10,29.75
7892-POOKP,0.591934,1,1,train,Month-to-month,Electronic check,Fiber optic,28,104.8
6388-TABGU,0.015875,0,0,test,One year,Bank transfer (automatic),DSL,62,56.15
9763-GRSKD,0.162264,0,0,train,Month-to-month,Mailed check,DSL,13,49.95
7469-LKBCI,0.021116,0,0,train,Two year,Credit card (automatic),No,16,18.95
8091-TTVAX,0.228027,0,0,train,One year,Credit card (automatic),Fiber optic,58,100.35
0280-XJGEX,0.49765,1,1,train,Month-to-month,Bank transfer (automatic),Fiber optic,49,103.7
5129-JLPIS,0.451099,1,0,test,Month-to-month,Electronic check,Fiber optic,25,105.5
3655-SNQYZ,0.026219,0,0,train,Two year,Credit card (automatic),Fiber optic,69,113.25
8191-XWSZG,0.023245,0,0,train,One year,Mailed check,No,52,20.65
9959-WOFKT,0.033116,0,0,train,Two year,Bank transfer (automatic),Fiber optic,71,106.7
4190-MFLUW,0.171755,0,1,test,Month-to-month,Credit card (automatic),DSL,10,55.2
4183-MYFRB,0.533439,1,0,train,Month-to-month,Electronic check,Fiber optic,21,90.05
8779-QRDMV,0.745747,1,1,train,Month-to-month,Electronic check,DSL,1,39.65
1680-VDCWW,0.06575,0,0,train,One year,Bank transfer (automatic),No,12,19.8
1066-JKSGK,0.198361,0,1,train,Month-to-month,Mailed check,No,1,20.15
3638-WEABW,0.021967,0,0,train,Two year,Credit card (automatic),DSL,58,59.9
6322-HRPFA,0.041801,0,0,test,Month-to-month,Credit card (automatic),DSL,49,59.6
6865-JZNKO,0.105466,0,0,train,Month-to-month,Bank transfer (automatic),DSL,30,55.3
6467-CHFZW,0.382051,1,1,train,Month-to-month,Electronic check,Fiber optic,47,99.35
8665-UTDHZ,0.460091,1,1,train,Month-to-month,Electronic check,DSL,1,30.2
5248-YGIJN,0.017742,0,0,train,Two year,Credit card (automatic),DSL,72,90.25
8773-HHUOZ,0.266822,1,1,train,Month-to-month,Mailed check,DSL,17,64.7
3841-NFECX,0.025664,0,0,train,Two year,Credit card (automatic),Fiber optic,71,96.35
4929-XIHVW,0.77817,1,0,train,Month-to-month,Credit card (automatic),Fiber optic,2,95.5
6827-IEAUQ,0.022481,0,0,train,One year,Mailed check,DSL,27,66.15
7310-EGVHZ,0.17164,0,0,train,Month-to-month,Bank transfer (automatic),No,1,20.2
3413-BMNZE,0.384404,1,0,train,Month-to-month,Bank transfer (automatic),DSL,1,45.25
6234-RAAPL,0.022846,0,0,train,Two year,Bank transfer (automatic),Fiber optic,72,99.9
6047-YHPVI,0.695358,1,1,test,Month-to-month,Electronic check,Fiber optic,5,69.7
6572-ADKRS,0.227018,0,0,train,Month-to-month,Credit card (automatic),Fiber optic,46,74.8
5380-WJKOV,0.580521,1,1,test,Month-to-month,Electronic check,Fiber optic,34,106.35
8168-UQWWF,0.774055,1,1,train,Month-to-month,Bank transfer (automatic),Fiber optic,11,97.85
8865-TNMNX,0.128417,0,0,train,One year,Mailed check,DSL,10,49.55
9489-DEDVP,0.018006,0,0,train,Two year,Credit card (automatic),DSL,70,69.2
9867-JCZSP,0.025685,0,0,train,One year,Mailed check,No,17,20.75
4671-VJLCL,0.020948,0,0,train,Two year,Credit card (automatic),DSL,63,79.85
4080-IIARD,0.300583,1,0,train,Month-to-month,Electronic check,DSL,13,76.2
3714-NTNFO,0.552239,1,0,train,Month-to-month,Electronic check,Fiber optic,49,84.5
5948-UJZLF,0.305892,1,0,train,Month-to-month,Mailed check,DSL,2,49.25
7760-OYPDY,0.794103,1,1,train,Month-to-month,Electronic check,Fiber optic,2,80.65
7639-LIAYI,0.04283,0,0,train,Two year,Credit card (automatic),DSL,52,79.75
2954-PIBKO,0.010474,0,0,test,Two year,Credit card (automatic),DSL,69,64.15
8012-SOUDQ,0.434156,1,0,train,Month-to-month,Electronic check,Fiber optic,43,90.25
9420-LOJKX,0.427498,1,1,test,Month-to-month,Credit card (automatic),Fiber optic,15,99.1
6575-SUVOI,0.198036,0,0,train,Month-to-month,Credit card (automatic),DSL,25,69.5
7495-OOKFY,0.664719,1,1,test,Month-to-month,Credit card (automatic),Fiber optic,8,80.65
4667-QONEA,0.025922,0,0,train,One year,Credit card (automatic),DSL,60,74.85
1658-BYGOY,0.739219,1,1,train,Month-to-month,Electronic check,Fiber optic,18,95.45
8769-KKTPH,0.14426,0,0,train,One year,Credit card (automatic),Fiber optic,63,99.65
5067-XJQFU,0.219888,0,0,train,One year,Electronic check,Fiber optic,66,108.45
3957-SQXML,0.013234,0,0,train,Two year,Credit card (automatic),No,34,24.95
5954-BDFSG,0.06421,0,0,train,Two year,Credit card (automatic),Fiber optic,72,107.5
0434-CSFON,0.500873,1,0,train,Month-to-month,Electronic check,Fiber optic,47,100.5
1215-FIGMP,0.350598,1,0,train,Month-to-month,Bank transfer (automatic),Fiber optic,60,89.9
0526-SXDJP,0.010156,0,0,train,Two year,Bank transfer (automatic),DSL,72,42.1
0557-ASKVU,0.082243,0,0,train,One year,Credit card (automatic),DSL,18,54.4
5698-BQJOH,0.771551,1,1,test,Month-to-month,Electronic check,Fiber optic,9,94.4
5122-CYFXA,0.574586,1,0,train,Month-to-month,Electronic check,DSL,3,75.3
8627-ZYGSZ,0.211595,0,0,train,One year,Electronic check,Fiber optic,47,78.9
3410-YOQBQ,0.036194,0,0,train,Two year,Mailed check,DSL,31,79.2
3170-NMYVV,0.009171,0,0,train,Two year,Bank transfer (automatic),No,50,20.15
7410-OIEDU,0.526614,1,0,train,Month-to-month,Mailed check,Fiber optic,10,79.85
2273-QCKXA,0.285138,1,0,train,Month-to-month,Mailed check,DSL,1,49.05
0731-EBJQB,0.033797,0,0,train,One year,Electronic check,No,52,20.4
1891-QRQSA,0.072724,0,0,train,Two year,Bank transfer (automatic),Fiber optic,64,111.6
8028-PNXHQ,0.012511,0,0,test,Two year,Bank transfer (automatic),No,62,24.25
5630-AHZIL,0.262605,1,0,test,Month-to-month,Bank transfer (automatic),DSL,3,64.5
2673-CXQEU,0.205428,0,0,train,One year,Electronic check,Fiber optic,56,110.5
6416-JNVRK,0.04703,0,0,train,One year,Credit card (automatic),DSL,46,55.65
5590-ZSKRV,0.158461,0,0,train,Month-to-month,Mailed check,DSL,8,54.65
0191-ZHSKZ,0.295799,1,0,train,Month-to-month,Electronic check,DSL,30,74.75
3887-PBQAO,0.028524,0,0,train,One year,Credit card (automatic),No,45,25.9
5919-TMRGD,0.72643,1,1,train,Month-to-month,Electronic check,Fiber optic,1,79.35
8108-UXRQN,0.447853,1,0,train,Month-to-month,Electronic check,DSL,11,50.55
9191-MYQKX,0.569015,1,1,train,Month-to-month,Bank transfer (automatic),Fiber optic,7,75.15
9919-YLNNG,0.2466,1,0,train,Month-to-month,Bank transfer (automatic),Fiber optic,42,103.8
0318-ZOPWS,0.014262,0,0,train,Two year,Bank transfer (automatic),No,49,20.15
4445-ZJNMU,0.749508,1,0,test,Month-to-month,Credit card (automatic),Fiber optic,9,99.3
4808-YNLEU,0.081879,0,0,train,One year,Bank transfer (automatic),DSL,35,62.15
1862-QRWPE,0.005193,0,0,test,Two year,Bank transfer (automatic),No,48,20.65
2796-NNUFI,0.010802,0,0,train,Two year,Mailed check,No,46,19.95
3016-KSVCP,0.288739,1,0,train,Month-to-month,Mailed check,DSL,29,33.75
4767-HZZHQ,0.221834,0,0,train,Month-to-month,Bank transfer (automatic),Fiber optic,30,82.05
2424-WVHPL,0.600537,1,0,train,Month-to-month,Electronic check,Fiber optic,1,74.7
7233-PAHHL,0.024684,0,0,train,Two year,Mailed check,DSL,66,84.0
6067-NGCEU,0.270257,1,0,train,Month-to-month,Credit card (automatic),Fiber optic,65,111.05
9848-JQJTX,0.083829,0,0,train,Two year,Bank transfer (automatic),Fiber optic,72,100.9
8637-XJIVR,0.644262,1,1,train,Month-to-month,Electronic check,Fiber optic,12,78.95
9803-FTJCG,0.01733,0,0,train,One year,Credit card (automatic),DSL,71,66.85
0278-YXOOG,0.152045,0,1,train,Month-to-month,Mailed check,No,5,21.05
3212-KXOCR,0.011472,0,0,train,Two year,Bank transfer (automatic),No,52,21.0
4598-XLKNJ,0.61685,1,1,train,Month-to-month,Electronic check,Fiber optic,25,98.5
6380-ARCEH,0.19832,0,0,train,Month-to-month,Mailed check,No,1,20.2
3679-XASPY,0.209228,0,0,test,Month-to-month,Electronic check,No,1,19.45
7123-WQUHX,0.133357,0,0,train,One year,Bank transfer (automatic),Fiber optic,38,95.0
5386-THSLQ,0.062761,0,0,train,One year,Bank transfer (automatic),DSL,66,45.55
3192-NQECA,0.068776,0,1,train,Two year,Bank transfer (automatic),Fiber optic,68,110.0
